This file was created using the 201705 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
19911101    ,0.17    ,0.41   ,-0.21    ,0.02
19911104    ,0.84   ,-0.04    ,0.11    ,0.02
19911105   ,-0.46    ,0.10   ,-0.04    ,0.02
19911106   ,-0.48    ,0.22    ,0.20    ,0.02
19911107   ,-0.13    ,0.33   ,-0.08    ,0.02
19911108   ,-0.25   ,-0.18    ,0.14    ,0.02
19911111   ,-0.13    ,0.19   ,-0.05    ,0.02
19911112    ,0.52   ,-0.44   ,-0.14    ,0.02
19911113   ,-0.62    ,0.36   ,-0.02    ,0.02
19911114   ,-0.19    ,0.16   ,-0.12    ,0.02
19911115   ,-0.45    ,0.20    ,0.00    ,0.02
19911118   ,-1.08    ,0.15   ,-0.02    ,0.02
19911119   ,-0.36    ,0.68    ,0.22    ,0.02
19911120   ,-0.40   ,-0.10   ,-0.17    ,0.02
19911121   ,-0.02   ,-0.05   ,-0.15    ,0.02
19911122    ,0.01    ,0.00   ,-0.28    ,0.02
19911125    ,0.12   ,-0.43   ,-0.05    ,0.02
19911126   ,-0.02   ,-0.49    ,0.15    ,0.02
19911127   ,-1.62    ,0.43   ,-0.12    ,0.02
19911128   ,-0.58    ,0.12    ,0.03    ,0.02
19911129   ,-0.59   ,-0.09    ,0.05    ,0.02
19911202   ,-1.29    ,0.69    ,0.09    ,0.02
19911203    ,0.69   ,-0.75    ,0.03    ,0.02
19911204    ,0.64   ,-0.42   ,-0.42    ,0.02
19911205    ,0.04    ,0.37    ,0.10    ,0.02
19911206    ,0.16    ,0.29   ,-0.14    ,0.02
19911209   ,-0.29    ,0.11   ,-0.13    ,0.02
19911210   ,-1.03    ,0.37   ,-0.24    ,0.02
19911211   ,-0.92    ,0.35    ,0.13    ,0.02
19911212    ,0.78   ,-0.64    ,0.14    ,0.02
19911213    ,1.80   ,-1.01   ,-0.12    ,0.02
19911216    ,0.24    ,0.29    ,0.08    ,0.02
19911217   ,-0.29    ,0.30    ,0.06    ,0.02
19911218   ,-0.51    ,0.17   ,-0.06    ,0.02
19911219   ,-1.10    ,0.84    ,0.03    ,0.02
19911220   ,-0.19    ,0.62   ,-0.10    ,0.02
19911223    ,0.77   ,-0.07   ,-0.02    ,0.02
19911224   ,-0.35   ,-0.10    ,0.27    ,0.02
19911225    ,1.41   ,-1.20   ,-0.22    ,0.02
19911226    ,0.61   ,-0.23    ,0.00    ,0.02
19911227    ,0.29   ,-0.08    ,0.07    ,0.02
19911230    ,1.42   ,-1.05   ,-0.29    ,0.02
19911231    ,0.88   ,-0.29   ,-0.11    ,0.02
19920101   ,-0.02    ,0.00    ,0.00    ,0.01
19920102    ,0.13   ,-0.17   ,-0.13    ,0.01
19920103   ,-0.23   ,-0.12    ,0.14    ,0.01
19920106    ,2.42   ,-1.10   ,-0.14    ,0.01
19920107   ,-0.67    ,0.67    ,0.23    ,0.01
19920108   ,-1.84    ,1.50   ,-0.03    ,0.01
19920109   ,-0.59   ,-0.82    ,0.19    ,0.01
19920110   ,-2.48    ,1.21    ,0.39    ,0.01
19920113   ,-0.82    ,0.89   ,-0.07    ,0.01
19920114    ,0.06   ,-0.45    ,0.12    ,0.01
19920115   ,-0.92    ,0.00    ,0.24    ,0.01
19920116    ,0.10    ,0.19    ,0.55    ,0.01
19920117    ,0.47    ,0.46    ,0.05    ,0.01
19920120    ,0.91   ,-0.07    ,0.02    ,0.01
19920121    ,0.40   ,-0.13    ,0.15    ,0.01
19920122    ,0.72   ,-0.71    ,0.08    ,0.01
19920123   ,-0.58   ,-0.28    ,0.15    ,0.01
19920124   ,-0.51    ,0.56    ,0.10    ,0.01
19920127   ,-1.36    ,0.27    ,0.14    ,0.01
19920128    ,0.61   ,-0.10    ,0.08    ,0.01
19920129    ,0.07    ,0.07   ,-0.16    ,0.01
19920130   ,-0.40   ,-0.25   ,-0.20    ,0.01
19920131    ,1.62   ,-0.47   ,-0.11    ,0.01
19920203    ,0.14    ,0.41    ,0.02    ,0.01
19920204   ,-0.05    ,0.33    ,0.02    ,0.01
19920205    ,0.25    ,0.20    ,0.01    ,0.01
